
Odczyt danych o terrainie z pliku teren2.map

  size sektora = 480.000000
  czas odnowy przedmiotu = 120.000000
  if_toroidal_world = 0
  border_x = -1.000000
  border_z = -1.000000
  liczba sekt. = 372
    mapa w=0, k=0, l.oczek = 16
    mapa w=29, k=-7, l.oczek = 8
    mapa w=29, k=-5, l.oczek = 8
    mapa w=18, k=-8, l.oczek = 8
    mapa w=9, k=4, l.oczek = 8
    mapa w=13, k=-9, l.oczek = 8
    mapa w=16, k=-2, l.oczek = 8
    mapa w=18, k=-10, l.oczek = 8
    mapa w=30, k=-12, l.oczek = 8
    mapa w=14, k=-11, l.oczek = 8
    mapa w=22, k=-1, l.oczek = 8
    mapa w=11, k=3, l.oczek = 8
    mapa w=28, k=-14, l.oczek = 8
    mapa w=13, k=-4, l.oczek = 8
    mapa w=26, k=-7, l.oczek = 8
    mapa w=24, k=-12, l.oczek = 8
    mapa w=27, k=-4, l.oczek = 8
    mapa w=14, k=-3, l.oczek = 8
    mapa w=22, k=-8, l.oczek = 8
    mapa w=23, k=-1, l.oczek = 8
    mapa w=17, k=-2, l.oczek = 8
    mapa w=19, k=-6, l.oczek = 8
    mapa w=28, k=-13, l.oczek = 8
    mapa w=28, k=-15, l.oczek = 8
    mapa w=31, k=-10, l.oczek = 8
    mapa w=28, k=-8, l.oczek = 8
    mapa w=13, k=-5, l.oczek = 8
    mapa w=25, k=-5, l.oczek = 8
    mapa w=13, k=-8, l.oczek = 8
    mapa w=24, k=-3, l.oczek = 8
    mapa w=29, k=-10, l.oczek = 8
    mapa w=20, k=-5, l.oczek = 8
    mapa w=15, k=-3, l.oczek = 8
    mapa w=12, k=3, l.oczek = 8
    mapa w=13, k=-7, l.oczek = 8
    mapa w=13, k=-6, l.oczek = 8
    mapa w=24, k=-1, l.oczek = 8
    mapa w=22, k=-9, l.oczek = 8
    mapa w=23, k=-7, l.oczek = 8
    mapa w=14, k=-10, l.oczek = 8
    mapa w=14, k=-4, l.oczek = 8
    mapa w=10, k=4, l.oczek = 8
    mapa w=22, k=-4, l.oczek = 8
    mapa w=25, k=-9, l.oczek = 8
    mapa w=27, k=-10, l.oczek = 8
    mapa w=18, k=-2, l.oczek = 8
    mapa w=16, k=-3, l.oczek = 8
    mapa w=19, k=-7, l.oczek = 8
    mapa w=24, k=-6, l.oczek = 8
    mapa w=14, k=-9, l.oczek = 8
    mapa w=14, k=-5, l.oczek = 8
    mapa w=30, k=-13, l.oczek = 8
    mapa w=22, k=-12, l.oczek = 8
    mapa w=22, k=-10, l.oczek = 8
    mapa w=25, k=-3, l.oczek = 8
    mapa w=15, k=-11, l.oczek = 8
    mapa w=11, k=4, l.oczek = 8
    mapa w=22, k=-11, l.oczek = 8
    mapa w=15, k=-4, l.oczek = 8
    mapa w=20, k=-6, l.oczek = 8
    mapa w=21, k=-5, l.oczek = 8
    mapa w=30, k=-9, l.oczek = 8
    mapa w=14, k=-8, l.oczek = 8
    mapa w=14, k=-6, l.oczek = 8
    mapa w=28, k=-6, l.oczek = 8
    mapa w=19, k=-8, l.oczek = 8
    mapa w=14, k=-7, l.oczek = 8
    mapa w=19, k=-10, l.oczek = 8
    mapa w=19, k=-9, l.oczek = 8
    mapa w=31, k=-8, l.oczek = 8
    mapa w=28, k=-4, l.oczek = 8
    mapa w=23, k=-4, l.oczek = 8
    mapa w=17, k=-3, l.oczek = 8
    mapa w=29, k=-11, l.oczek = 8
    mapa w=27, k=-11, l.oczek = 8
    mapa w=30, k=-14, l.oczek = 8
    mapa w=26, k=-5, l.oczek = 8
    mapa w=27, k=-16, l.oczek = 8
    mapa w=15, k=-10, l.oczek = 8
    mapa w=15, k=-5, l.oczek = 8
    mapa w=25, k=-10, l.oczek = 8
    mapa w=28, k=-9, l.oczek = 8
    mapa w=26, k=-8, l.oczek = 8
    mapa w=12, k=4, l.oczek = 8
    mapa w=23, k=-8, l.oczek = 8
    mapa w=21, k=-2, l.oczek = 8
    mapa w=16, k=-4, l.oczek = 8
    mapa w=27, k=-7, l.oczek = 8
    mapa w=15, k=-6, l.oczek = 8
    mapa w=26, k=-3, l.oczek = 8
    mapa w=15, k=-9, l.oczek = 8
    mapa w=18, k=-3, l.oczek = 8
    mapa w=15, k=-8, l.oczek = 8
    mapa w=15, k=-7, l.oczek = 8
    mapa w=31, k=-11, l.oczek = 8
    mapa w=20, k=-7, l.oczek = 8
    mapa w=25, k=-11, l.oczek = 8
    mapa w=25, k=-14, l.oczek = 8
    mapa w=30, k=-7, l.oczek = 8
    mapa w=22, k=-5, l.oczek = 8
    mapa w=16, k=-5, l.oczek = 8
    mapa w=17, k=-4, l.oczek = 8
    mapa w=24, k=-7, l.oczek = 8
    mapa w=22, k=-2, l.oczek = 8
    mapa w=16, k=-11, l.oczek = 8
    mapa w=25, k=-6, l.oczek = 8
    mapa w=27, k=-15, l.oczek = 8
    mapa w=29, k=-8, l.oczek = 8
    mapa w=23, k=-14, l.oczek = 8
    mapa w=29, k=-4, l.oczek = 8
    mapa w=27, k=-12, l.oczek = 8
    mapa w=23, k=-9, l.oczek = 8
    mapa w=19, k=-3, l.oczek = 8
    mapa w=27, k=-14, l.oczek = 8
    mapa w=27, k=-13, l.oczek = 8
    mapa w=21, k=-6, l.oczek = 8
    mapa w=27, k=-3, l.oczek = 8
    mapa w=25, k=-13, l.oczek = 8
    mapa w=25, k=-12, l.oczek = 8
    mapa w=20, k=-8, l.oczek = 8
    mapa w=29, k=-12, l.oczek = 8
    mapa w=24, k=-4, l.oczek = 8
    mapa w=27, k=-5, l.oczek = 8
    mapa w=23, k=-2, l.oczek = 8
    mapa w=23, k=-10, l.oczek = 8
    mapa w=26, k=-9, l.oczek = 8
    mapa w=16, k=-6, l.oczek = 8
    mapa w=16, k=-10, l.oczek = 8
    mapa w=23, k=-13, l.oczek = 8
    mapa w=30, k=-10, l.oczek = 8
    mapa w=18, k=-4, l.oczek = 8
    mapa w=20, k=-10, l.oczek = 8
    mapa w=16, k=-7, l.oczek = 8
Znaleziono w pliku teren2.map przedmioty w liczbie 224
  przedm.0, type = 1, value = 10.000000
wstawiam przedmiot 22691888: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.1, type = 1, value = 10.000000
wstawiam przedmiot 22691984: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.2, type = 1, value = 10.000000
wstawiam przedmiot 22692080: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.3, type = 1, value = 10.000000
wstawiam przedmiot 22692176: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.4, type = 1, value = 10.000000
wstawiam przedmiot 22692272: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.5, type = 1, value = 10.000000
wstawiam przedmiot 22692368: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.6, type = 1, value = 10.000000
wstawiam przedmiot 22692464: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.7, type = 1, value = 10.000000
wstawiam przedmiot 22692560: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.8, type = 1, value = 10.000000
wstawiam przedmiot 22692656: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.9, type = 1, value = 10.000000
wstawiam przedmiot 22692752: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.10, type = 1, value = 10.000000
wstawiam przedmiot 22692848: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.11, type = 1, value = 10.000000
wstawiam przedmiot 22692944: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.12, type = 1, value = 10.000000
wstawiam przedmiot 22693040: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.13, type = 1, value = 10.000000
wstawiam przedmiot 22693136: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.14, type = 1, value = 10.000000
wstawiam przedmiot 22693232: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 18, k = -2
  przedm.15, type = 1, value = 10.000000
wstawiam przedmiot 22693328: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.16, type = 1, value = 10.000000
wstawiam przedmiot 22693424: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.17, type = 1, value = 10.000000
wstawiam przedmiot 22693520: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.18, type = 1, value = 10.000000
wstawiam przedmiot 22693616: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.19, type = 1, value = 10.000000
wstawiam przedmiot 22693712: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 21, k = -4
  przedm.20, type = 1, value = 10.000000
wstawiam przedmiot 22693808: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -5
  przedm.21, type = 1, value = 10.000000
wstawiam przedmiot 22693904: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -4
  przedm.22, type = 1, value = 10.000000
wstawiam przedmiot 22694000: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -4
  przedm.23, type = 1, value = 10.000000
wstawiam przedmiot 22694096: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -4
  przedm.24, type = 1, value = 10.000000
wstawiam przedmiot 22694192: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.25, type = 1, value = 10.000000
wstawiam przedmiot 22694288: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.26, type = 1, value = 10.000000
wstawiam przedmiot 22694384: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.27, type = 1, value = 10.000000
wstawiam przedmiot 22694480: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.28, type = 1, value = 10.000000
wstawiam przedmiot 22694576: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.29, type = 1, value = 10.000000
wstawiam przedmiot 22694672: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.30, type = 1, value = 10.000000
wstawiam przedmiot 22694768: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.31, type = 1, value = 10.000000
wstawiam przedmiot 22694864: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.32, type = 1, value = 10.000000
wstawiam przedmiot 22694960: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.33, type = 1, value = 10.000000
wstawiam przedmiot 22695056: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.34, type = 1, value = 10.000000
wstawiam przedmiot 22695152: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.35, type = 1, value = 10.000000
wstawiam przedmiot 22695248: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.36, type = 1, value = 10.000000
wstawiam przedmiot 22695344: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.37, type = 1, value = 10.000000
wstawiam przedmiot 22695440: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.38, type = 1, value = 10.000000
wstawiam przedmiot 22695536: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.39, type = 2, value = 22.830770
wstawiam przedmiot 22695632: drzewo o wartosci 22.830770 i srednicy 1.220769 w sektor w = -1, k = 1
  przedm.40, type = 1, value = 10.000000
wstawiam przedmiot 22695728: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.41, type = 1, value = 10.000000
wstawiam przedmiot 22695824: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.42, type = 1, value = 10.000000
wstawiam przedmiot 22695920: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.43, type = 1, value = 10.000000
wstawiam przedmiot 22696016: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.44, type = 1, value = 10.000000
wstawiam przedmiot 22696112: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.45, type = 1, value = 10.000000
wstawiam przedmiot 22696208: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.46, type = 1, value = 10.000000
wstawiam przedmiot 22696304: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.47, type = 1, value = 10.000000
wstawiam przedmiot 22696400: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.48, type = 1, value = 10.000000
wstawiam przedmiot 22696496: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.49, type = 1, value = 10.000000
wstawiam przedmiot 22696592: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.50, type = 1, value = 10.000000
wstawiam przedmiot 22696688: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.51, type = 1, value = 10.000000
wstawiam przedmiot 22696784: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.52, type = 1, value = 10.000000
wstawiam przedmiot 22696880: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.53, type = 1, value = 10.000000
wstawiam przedmiot 22696976: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.54, type = 1, value = 10.000000
wstawiam przedmiot 22697072: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.55, type = 1, value = 10.000000
wstawiam przedmiot 22697168: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.56, type = 1, value = 10.000000
wstawiam przedmiot 22697264: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.57, type = 1, value = 10.000000
wstawiam przedmiot 22697360: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.58, type = 1, value = 10.000000
wstawiam przedmiot 22697456: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.59, type = 1, value = 10.000000
wstawiam przedmiot 22697552: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.60, type = 1, value = 10.000000
wstawiam przedmiot 22697648: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.61, type = 1, value = 10.000000
wstawiam przedmiot 22697744: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.62, type = 1, value = 10.000000
wstawiam przedmiot 22697840: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.63, type = 1, value = 10.000000
wstawiam przedmiot 22697936: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.64, type = 1, value = 10.000000
wstawiam przedmiot 22698032: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.65, type = 1, value = 10.000000
wstawiam przedmiot 22698128: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.66, type = 1, value = 10.000000
wstawiam przedmiot 22698224: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.67, type = 1, value = 10.000000
wstawiam przedmiot 22698320: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.68, type = 1, value = 10.000000
wstawiam przedmiot 22698416: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.69, type = 1, value = 10.000000
wstawiam przedmiot 22698512: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.70, type = 1, value = 10.000000
wstawiam przedmiot 22698608: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.71, type = 1, value = 10.000000
wstawiam przedmiot 22698704: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.72, type = 1, value = 10.000000
wstawiam przedmiot 22698800: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.73, type = 1, value = 10.000000
wstawiam przedmiot 22698896: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.74, type = 1, value = 10.000000
wstawiam przedmiot 22698992: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.75, type = 1, value = 10.000000
